55 Cnc f,55 Cnc,2,5,Radial Velocity,2007,Multiple Observatories,0,259.88000000000,0.7708000000,7.59000000,0.67700000,44.81200000,0.14100000,Mass,0.080000,,,0,G8V,5172.00,0.943000,0.905000,0.3500,[Fe/H],4.430000,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.58550000,5.9508400,4.0150000,5.7297300
6 Lyn b,6 Lyn,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,919.86000000000,2.0280000000,13.40000000,1.20000000,597.83523357,1.88100000,Msini,0.042000,,,0,K0 IV,4941.00,4.940000,1.320000,-0.1700,[Fe/H],3.160000,06h30m47.05s,97.6960311,+58d09m40.23s,58.1611753,54.65990000,5.8730700,3.7010000,5.6068600
61 Vir b,61 Vir,1,3,Radial Velocity,2009,Multiple Observatories,0,4.21500000000,0.0502010000,2.11000000,0.18800000,5.10000000,0.01600000,Msini,0.120000,,,0,G5 V,5577.00,0.963000,0.942000,-0.0100,[Fe/H],4.340000,13h18m23.15s,199.5964550,-18d18m56.79s,-18.3157745,8.50332000,4.6955000,2.9560000,4.5405200
61 Vir c,61 Vir,1,3,Radial Velocity,2009,Multiple Observatories,0,38.02100000000,0.2175000000,4.46000000,0.39800000,18.20000000,0.05700000,Msini,0.140000,,,0,G5 V,5577.00,0.963000,0.942000,-0.0100,[Fe/H],4.340000,13h18m23.15s,199.5964550,-18d18m56.79s,-18.3157745,8.50332000,4.6955000,2.9560000,4.5405200
61 Vir d,61 Vir,1,3,Radial Velocity,2009,Multiple Observatories,0,123.01000000000,0.4760000000,5.11000000,0.45600000,22.90000000,0.07200000,Msini,0.350000,,,0,G5 V,5577.00,0.963000,0.942000,-0.0100,[Fe/H],4.340000,13h18m23.15s,199.5964550,-18d18m56.79s,-18.3157745,8.50332000,4.6955000,2.9560000,4.5405200
7 CMa b,7 CMa,1,2,Radial Velocity,2011,Anglo-Australian Telescope,0,735.10000000000,1.7580000000,13.40000000,1.20000000,587.98550000,1.85000000,Msin(i)/sin(i),0.060000,,,0,K1III(+M),4826.00,4.870000,1.340000,0.2100,[Fe/H],3.190000,06h36m41.11s,99.1712760,-19d15m22.25s,-19.2561808,19.81010000,3.9500000,1.5640000,3.6785300
7 CMa c,7 CMa,1,2,Radial Velocity,2019,Multiple Observatories,0,996.00000000000,2.1530000000,13.90000000,1.24000000,276.51210000,0.87000000,Msin(i)/sin(i),0.080000,,,0,K1III(+M),4826.00,4.870000,1.340000,0.2100,[Fe/H],3.190000,06h36m41.11s,99.1712760,-19d15m22.25s,-19.2561808,19.81010000,3.9500000,1.5640000,3.6785300
70 Vir b,70 Vir,1,1,Radial Velocity,1996,Lick Observatory,0,116.68800000000,0.4810000000,12.60000000,1.13000000,2380.45000000,7.49000000,Mass,0.398800,,,0,G5V,5495.00,1.890000,1.090000,-0.0900,[Fe/H],3.950000,13h28m25.56s,202.1064898,+13d46m34.71s,13.7763085,17.90110000,4.9680800,3.5000000,4.7617800
75 Cet b,75 Cet,2,2,Radial Velocity,2012,Okayama Astrophysical Observatory,0,696.62000000000,1.9120000000,13.30000000,1.18000000,787.89662095,2.47900000,Msini,0.093000,,,0,G3 III,4809.00,10.380000,1.920000,0.1000,[Fe/H],2.690000,02h32m09.40s,38.0391598,-01d02m06.10s,-1.0350269,82.96130000,5.3532000,3.2070000,5.0934300
75 Cet c,75 Cet,2,2,Radial Velocity,2023,Okayama Astrophysical Observatory,0,2051.62000000000,3.9290000000,13.90000000,1.24000000,289.85950718,0.91200000,Msini,0.023000,,,0,G3 III,4809.00,10.380000,1.920000,0.1000,[Fe/H],2.690000,02h32m09.40s,38.0391598,-01d02m06.10s,-1.0350269,82.96130000,5.3532000,3.2070000,5.0934300
8 UMi b,8 UMi,1,1,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory,0,93.40000000000,0.4900000000,13.60000000,1.22000000,416.35730000,1.31000000,Msini,0.060000,,,0,K0,4847.00,10.300000,1.440000,-0.0300,[Fe/H],2.570000,14h56m48.40s,224.2016850,+74d54m03.38s,74.9009379,162.55200000,6.8329500,4.5150000,6.5589600
81 Cet b,81 Cet,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,1005.57000000000,2.1040000000,13.10000000,1.17000000,1051.05854195,3.30700000,Msini,0.037000,,,0,G5 III,4734.00,11.210000,1.230000,-0.1100,[Fe/H],2.410000,02h37m41.85s,39.4243555,-03d23m46.90s,-3.3963607,101.26000000,5.6430700,3.2660000,5.3758800
